src_urn,src_corpus,src_id,dst_corpus,dst_id,dst_urn,raw_match,char_offset
urn:us-la:rs:14:70.5,rs,14:70.5,rs,46:438.2,urn:us-la:rs:46:438.2,R.S. 46:438.2,1107
urn:us-la:rs:14:70.8,rs,14:70.8,crp,883.2,,Code of Criminal Procedure Article 883.2,972
urn:us-la:rs:14:71.1,rs,14:71.1,crp,883.2,,Code of Criminal Procedure Article 883.2,1134
urn:us-la:rs:14:71.2,rs,14:71.2,rs,47:820.5.1,urn:us-la:rs:47:820.5.1,R.S. 47:820.5.1,425
urn:us-la:rs:14:71.2,rs,14:71.2,rs,47:820.5.2,urn:us-la:rs:47:820.5.2,R.S. 47:820.5.2,1120
urn:us-la:rs:14:71.2,rs,14:71.2,rs,47:820.5.2,urn:us-la:rs:47:820.5.2,R.S. 47:820.5.2,1298
urn:us-la:rs:14:71.2,rs,14:71.2,rs,47:820.5.1,urn:us-la:rs:47:820.5.1,R.S. 47:820.5.1,1748
urn:us-la:rs:14:71.3.2,rs,14:71.3.2,rs,47:2132,urn:us-la:rs:47:2132,R.S. 47:2132,161
urn:us-la:rs:14:71.3.2,rs,14:71.3.2,rs,47:2158.1,urn:us-la:rs:47:2158.1,R.S. 47:2158.1,209
urn:us-la:rs:14:71.3.2,rs,14:71.3.2,rs,47:2122,urn:us-la:rs:47:2122,R.S. 47:2122,2170
urn:us-la:rs:14:71.5,rs,14:71.5,crp,883.2,,Code of Criminal Procedure Article 883.2,2146
urn:us-la:rs:14:72.2,rs,14:72.2,crp,883.2,,Code of Criminal Procedure Article 883.2,3786
urn:us-la:rs:14:72.3,rs,14:72.3,rs,14:67.3,urn:us-la:rs:14:67.3,R.S. 14:67.3,945
urn:us-la:rs:14:72.3,rs,14:72.3,rs,14:67.16,urn:us-la:rs:14:67.16,R.S. 14:67.16,1013
urn:us-la:rs:14:72.3,rs,14:72.3,rs,14:70.4,urn:us-la:rs:14:70.4,R.S. 14:70.4,1063
urn:us-la:rs:14:73.1,rs,14:73.1,rs,14:67.3,urn:us-la:rs:14:67.3,R.S. 14:67.3,2389
urn:us-la:rs:14:73.1,rs,14:73.1,rs,51:1431,urn:us-la:rs:51:1431,R.S. 51:1431,2538
urn:us-la:rs:14:73.1,rs,14:73.1,rs,14:2,urn:us-la:rs:14:2,R.S. 14:2,3852
urn:us-la:rs:14:73.8,rs,14:73.8,rs,14:81.1,urn:us-la:rs:14:81.1,R.S. 14:81.1,295
urn:us-la:rs:14:73.9,rs,14:73.9,rs,14:100.12,urn:us-la:rs:14:100.12,R.S. 14:100.12,495
urn:us-la:rs:14:73.12,rs,14:73.12,rs,44:1,urn:us-la:rs:44:1,R.S. 44:1,1552
urn:us-la:rs:14:73.12,rs,14:73.12,rs,14:125,urn:us-la:rs:14:125,R.S. 14:125,5578
urn:us-la:rs:14:74,rs,14:74,rs,15:305,urn:us-la:rs:15:305,R.S. 15:305,2850
urn:us-la:rs:14:74.1,rs,14:74.1,rs,14:74,urn:us-la:rs:14:74,R.S. 14:74,137
urn:us-la:rs:14:79,rs,14:79,rs,9:361,urn:us-la:rs:9:361,R.S. 9:361,148
urn:us-la:rs:14:79,rs,14:79,rs,9:372,urn:us-la:rs:9:372,R.S. 9:372,168
urn:us-la:rs:14:79,rs,14:79,rs,46:2131,urn:us-la:rs:46:2131,R.S. 46:2131,180
urn:us-la:rs:14:79,rs,14:79,rs,46:2151,urn:us-la:rs:46:2151,R.S. 46:2151,202
urn:us-la:rs:14:79,rs,14:79,rs,46:2171,urn:us-la:rs:46:2171,R.S. 46:2171,216
urn:us-la:rs:14:79,rs,14:79,rs,46:2181,urn:us-la:rs:46:2181,R.S. 46:2181,238
urn:us-la:rs:14:79,rs,14:79,rs,9:361,urn:us-la:rs:9:361,R.S. 9:361,551
urn:us-la:rs:14:79,rs,14:79,rs,9:372,urn:us-la:rs:9:372,R.S. 9:372,571
urn:us-la:rs:14:79,rs,14:79,rs,46:2131,urn:us-la:rs:46:2131,R.S. 46:2131,583
urn:us-la:rs:14:79,rs,14:79,rs,46:2151,urn:us-la:rs:46:2151,R.S. 46:2151,605
urn:us-la:rs:14:79,rs,14:79,rs,46:2171,urn:us-la:rs:46:2171,R.S. 46:2171,619
urn:us-la:rs:14:79,rs,14:79,rs,46:2136.2,urn:us-la:rs:46:2136.2,R.S. 46:2136.2,1884
urn:us-la:rs:14:79,rs,14:79,rs,15:574.4.2,urn:us-la:rs:15:574.4.2,R.S. 15:574.4.2,3132
urn:us-la:rs:14:79,rs,14:79,rs,46:1846,urn:us-la:rs:46:1846,R.S. 46:1846,3288
urn:us-la:rs:14:79,rs,14:79,rs,46:2136.3,urn:us-la:rs:46:2136.3,R.S. 46:2136.3,3432
urn:us-la:rs:14:79,rs,14:79,rs,14:95.1,urn:us-la:rs:14:95.1,R.S. 14:95.1,3552
urn:us-la:rs:14:79,rs,14:79,rs,14:35.3,urn:us-la:rs:14:35.3,R.S. 14:35.3,4584
urn:us-la:rs:14:79,rs,14:79,rs,14:2,urn:us-la:rs:14:2,R.S. 14:2,4809
urn:us-la:rs:14:79,rs,14:79,rs,14:35.3,urn:us-la:rs:14:35.3,R.S. 14:35.3,5636
